ime_avtomobila,znamka,leto_prve_registracije,prevozeni_kilometri,vrsta_motorja,vrsta_menjalnika,velikost_motorja,moc_motorja,cena
Audi A3 35 TFSI DIGITALNI COCKPIT-LED-GR.SEDEEV-19½,Audi,2020,9913,bencinski motor,avtomatski menjalnik,"['1', '4', '9', '8']",110,27490

Audi A3 Sportback 1.6 TDI Attraction,Audi,2013,209000,diesel motor,ročni menjalnik,"['1', '5', '9', '8']",77,8490

Audi A3 Sportback 1.6 TDI Sport.P.SEDEI.BI-XENON.17 COL ,Audi,2017,168311,diesel motor,ročni menjalnik,"['1', '5', '9', '8']",81,14990

Audi A3 Sportback 1.6 TDI diesel 4x4,Audi,2016,162000,diesel motor,ročni menjalnik,"['1', '5', '9', '8']",81,13750

Audi A3 Sportback 1.6 TDI ultra Attraction,Audi,2016,130500,diesel motor,ročni menjalnik,"['1', '5', '9', '8']",81,12450

Audi A3 Sportback 1.9 TDI Ambiente,Audi,2005,369200,diesel motor,ročni menjalnik,"['1', '8', '9', '6']",77,3500

Audi A3 Sportback 1.9 TDI Ambiente,Audi,2008,290000,diesel motor,ročni menjalnik,"['1', '8', '9', '6']",77,3800

Audi A3 Sportback 2.0 TDI Ambition,Audi,2014,224900,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",110,9590

Audi A3 Sportback 2.0 TDI DPF Attraction,Audi,2008,199000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",125,8000

Audi A3 Sportback 2.0 TDI-SAMO 141.000KM-SPORT PAKET-17COL,Audi,2008,141608,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",103,5950

Audi A3 Sportback 2.0TDI DPF Attraction S-tronic+F1+ALU18,Audi,2012,259000,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",103,7950

Audi A3 Sportback quattro 2.0 TDI DPF Attraction,Audi,2008,233500,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",103,3999

Audi A4 1.6,Audi,1999,150300,bencinski motor,ročni menjalnik,"['1', '5', '9', '5']",74,800

Audi A4 1.9 TDI,Audi,2003,365000,diesel motor,ročni menjalnik,"['1', '8', '9', '6']",74,1990

Audi A4 1.9 TDI S LINE,Audi,2007,289000,diesel motor,ročni menjalnik,"['1', '8', '9', '6']",85,4235

Audi A4 2.0 TDI DPF,Audi,2008,345000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",105,7500

Audi A4 2.0 TDI DPF Multitronic,Audi,2008,227975,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",105,7350

Audi A4 2.0 TDI S-LINE+MATRIX LED+3D NAVI+PDC+GARANCIJA+,Audi,2018,148322,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",110,22885

Audi A4 2.0 TDI S-LINE-SLO-AVT.KLIMA-XENON-LED-,Audi,2008,269432,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",105,6885

Audi A4 2.0 TDI S-line Sport S tronic MATRIX+BLACK EDITION,Audi,2018,140000,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",110,21990

Audi A4 2.0 TDI velike servis opravljen 4 2020,Audi,2008,320000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",105,6400

Audi A4 2.0 TDI-LEASING ZA TUJCE-TEMPOMAT-ODLIÈEN-,Audi,2012,260000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",88,9950

Audi A4 2.0 TDI-LIZING ZA TUJCE-XENON-LED-136.000KM-PDC-,Audi,2013,136000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",105,11950

Audi A4 2.0TDI-XENON-TEMPOMAT-PDC-ODLIÈEN-LEASING ZA TUJCE,Audi,2012,232000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",130,9350

Audi A4 Avant 1.8 TFSI,Audi,2009,194000,bencinski motor,ročni menjalnik,"['1', '7', '9', '8']",118,8900

Audi A4 Avant 1.9 TDI,Audi,2002,330000,diesel motor,ročni menjalnik,"['1', '8', '9', '6']",96,2200

Audi A4 Avant 2.0 TDI,Audi,2007,380000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",103,3300

Audi A4 Avant 2.0 TDI,Audi,2014,226000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",110,9900

Audi A4 Avant 2.0 TDI  Basis ,Audi,2016,186757,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",110,13600

Audi A4 Avant 2.0 TDI  Basis  S tronic,Audi,2016,192000,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",140,14499

Audi A4 Avant 2.0 TDI  S tronic NEMKI+USNJE+F1+VEL.NAVI,Audi,2017,172000,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",140,15390

Audi A4 Avant 2.0 TDI 3 X S-Line.LED.Virt.Pa,Audi,2016,99001,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",140,23999

Audi A4 Avant 2.0 TDI BIXENON PDC,Audi,2006,299000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",103,3850

Audi A4 Avant 2.0 TDI BUSINESS LINE S tronic,Audi,2016,148000,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",110,19800

Audi A4 Avant 2.0 TDI Business Sport Multitronic,Audi,2014,225000,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",110,9990

Audi A4 Avant 2.0 TDI DPF ,Audi,2010,300000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",105,8290

Audi A4 Avant 2.0 TDI DPF Business Edition,Audi,2011,307500,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",105,7690

Audi A4 Avant 2.0 TDI DPF Business Edition,Audi,2011,240000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",105,7900

Audi A4 Avant 2.0 TDI DPF brez pologa,Audi,2009,290000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",105,7890

Audi A4 Avant 2.0 TDI Design S tronic,Audi,2016,179000,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",110,15900

Audi A4 Avant 2.0 TDI Design S tronic,Audi,2017,187000,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",90,15290

Audi A4 Avant 2.0 TDI Sport,Audi,2012,225478,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",100,9650

Audi A4 Avant 2.0 TDI Sport S tronic,Audi,2017,66606,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",110,21490

Audi A4 Avant 2.0 TDI Sport S tronic VIRTUAL LED PRIKLOP,Audi,2016,181264,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",110,1500

Audi A4 Avant 2.0 TDI Sport S tronicAlu18+190HP+F1+Navi,Audi,2017,168000,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",140,16690

Audi A4 Avant 2.0 TDI ultra Design S tronic,Audi,2016,165000,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",110,15390

Audi A4 Avant 2.0 TDI-BIXENON-NAVI-PDC-BREZ POLOGA,Audi,2010,285000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",105,7350

Audi A4 Avant 2.0 TDI-ODLIÈEN-KOT NOV-SERV.KNJIGA,Audi,2012,270164,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",100,7490

Audi A4 Avant quattro 2.0 TDI ,Audi,2011,300000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",125,7850

Audi A4 Avant quattro 2.0 TDI S tronic,Audi,2016,95100,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",140,24990

Audi A4 Avant quattro 2.0 TDI Sport S tronic,Audi,2016,214300,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",140,18150

Audi A4 S LINE. PANORAMA. VIRTUAL. KLJUKA KOT NOV,Audi,2016,170000,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",110,19800

Audi A4 quattro 2.0 TDI Business menjava za motor,Audi,2014,199500,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",110,11900

