ime_avtomobila,znamka,leto_prve_registracije,prevozeni_kilometri,vrsta_motorja,vrsta_menjalnika,velikost_motorja,moc_motorja,cena
BMW serija 4: 430d Gran Coupe Shadow line,BMW,2016,181000,diesel motor,avtomatski menjalnik,"['2', '9', '9', '3']",190,23000

BMW serija 4: 430i xDrive Gran Coupe M Sport Avt.,BMW,2016,54000,bencinski motor,avtomatski menjalnik,"['1', '9', '9', '8']",185,28100

BMW serija 5: 520D MSPORT AVT-190KM-LED-ALKANTARA-2xPDC-18COL,BMW,2015,229000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",140,16950

BMW serija 5: 520D-AVT-LIZING ZA TUJCE-SPORT-XENON-NAVI,BMW,2012,223000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",135,12950

BMW serija 5: 520D-M-OPTIC-BI-XENON-LIZING ZA TUJCE-NAVI-PDC-F1,BMW,2011,256000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",120,11950

BMW serija 5: 520d,BMW,2013,230000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",135,12200

BMW serija 5: 520d Avt+F1+ALU18+PANORAMA+XENON+NAVI+USNJE+UGODNO,BMW,2011,225000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",135,44500

BMW serija 5: 520d Avt.,BMW,2013,209000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",135,12500

BMW serija 5: 520d Touring Avt. LED usnje Navi Head-up,BMW,2017,89000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",140,26490

BMW serija 5: 520d Touring Sportline + BREZPLAÈNI SERVIS DO 2023,BMW,2017,134000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",140,27500

BMW serija 5: 520d Touring Vsi servisi Bixenon Navi Usnje Park ,BMW,2017,105312,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",140,26990

BMW serija 5: 520d touring,BMW,2016,57000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",140,19600

BMW serija 5: 520d touring,BMW,2012,200500,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",120,10500

BMW serija 5: 520d touring MOZNA MENJAVA,BMW,2012,236500,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",120,10500

BMW serija 5: 520d touring avt.,BMW,2014,200400,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",135,13500

BMW serija 5: 520d xDrive Avt.HEAD UP.ADAP LED.KAMERA.DIG TEVCI,BMW,2017,36500,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",140,32500

BMW serija 5: 520d xDrive Avt.°DISPLAY KEY°WEBASTO°XENON-LED°,BMW,2017,142818,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",140,29950

BMW serija 5: 520d-XENON-NAVI-SPORT PAK,BMW,2011,250000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",135,9650

BMW serija 5: 520dA touring,BMW,2011,300000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",135,14200

BMW serija 5: 525D-1.LASTNIK-M OPTIC-XENON-XDRIVE,BMW,2014,209000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",160,19950

BMW serija 5: 525d,BMW,2005,287000,diesel motor,ročni menjalnik,"['2', '4', '9', '7']",130,4000

BMW serija 5: 525d,BMW,2005,300000,diesel motor,ročni menjalnik,"['2', '4', '9', '7']",120,1800

BMW serija 5: 525d touring,BMW,2005,310000,diesel motor,ročni menjalnik,"['2', '4', '9', '7']",120,3200

BMW serija 5: 525d xDrive touring Avt.,BMW,2015,215000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",160,19480

BMW serija 5: 525d xDrive touring Avt.,BMW,2013,228000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",160,13000

BMW serija 5: 525dA ibedah TIPTRONIC,BMW,2011,292000,diesel motor,avtomatski menjalnik,"['2', '9', '9', '3']",150,13330

BMW serija 5: 528i Avt.,BMW,1998,268158,bencinski motor,avtomatski menjalnik,"['2', '7', '9', '3']",142,2500

BMW serija 5: 530d M-Sport xDrive Avt. SLO POREKLO VELIKO OPREME,BMW,2018,79470,diesel motor,avtomatski menjalnik,"['2', '9', '9', '3']",195,49990

BMW serija 5: 530d touring,BMW,2007,241000,diesel motor,ročni menjalnik,"['2', '9', '9', '3']",170,5850

BMW serija 5: 530d vsa oprema,BMW,2010,269000,diesel motor,avtomatski menjalnik,"['2', '9', '9', '3']",180,14590

BMW serija 5: 530d xDrive Avt. M-paket RADAR+FULL LED+KOT NOVA,BMW,2017,69000,diesel motor,avtomatski menjalnik,"['2', '9', '9', '3']",195,41990

BMW serija 5: 530d xDrive M-SPORT-FUL LED-SOFT CLOSE-SLO. VOZILO,BMW,2018,99978,diesel motor,avtomatski menjalnik,"['2', '9', '9', '3']",195,48890

BMW serija 5: 530d xDrive touring Avt. +LEASING ZA TUJCE,BMW,2013,297000,diesel motor,avtomatski menjalnik,"['2', '9', '9', '3']",190,13990

BMW serija 5: 530i,BMW,2004,317000,bencinski motor,avtomatski menjalnik,"['2', '9', '7', '9']",170,4500

BMW serija 5: 530i touring Avt.,BMW,2002,368000,bencinski motor,avtomatski menjalnik,"['2', '9', '7', '9']",170,3500

BMW serija 5: 530xd touring,BMW,2008,328000,diesel motor,avtomatski menjalnik,"['2', '9', '9', '3']",173,4750

BMW serija 5: 535d Avt.,BMW,2011,195000,diesel motor,avtomatski menjalnik,"['2', '9', '9', '3']",220,21000

BMW serija 6: 630d xDrive Gran Turismo-Avt-Luxury-Panorama-Usnje,BMW,2019,91441,diesel motor,avtomatski menjalnik,"['2', '9', '9', '3']",195,37750

BMW serija 6: 640d Gran Coupe xDrive  Avt. M-paket - 1.lastnik -,BMW,2014,110000,diesel motor,avtomatski menjalnik,"['2', '9', '9', '3']",230,39900

BMW serija 6: 645Ci-V8-AVT-158.000KM-ODLIÈEN-XENON-USNJE-KROM,BMW,2005,158000,bencinski motor,avtomatski menjalnik,"['4', '3', '9', '8']",245,9750

BMW serija 7: 730d Avt.-SLOVENSKI-ODLIÈEN-KOT NOV-SERV.KNJIGA,BMW,2009,275225,diesel motor,avtomatski menjalnik,"['2', '9', '9', '3']",180,14950

BMW serija X1: 1.8D-XD-4X4-SPORT PAKET-LEASING ZA TUJCE-ODLIÈEN,BMW,2012,237000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",105,8650

BMW serija X1: xDrive18d Sport Line,BMW,2016,125137,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",110,19890

BMW serija X3: 3.0d PANORAMA ,BMW,2004,263900,diesel motor,ročni menjalnik,"['2', '9', '9', '3']",150,4750

BMW serija X3: xDrive 20d AVT.XENEON.KAMERA.USNJE,BMW,2017,77600,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",140,25890

BMW serija X5: 170 KW 231PS,BMW,2015,75000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",170,27900

BMW serija X5: 3.0d Avt.,BMW,2007,281970,diesel motor,avtomatski menjalnik,"['2', '9', '9', '3']",173,11000

BMW serija X5: M50d Avt.,BMW,2013,175000,diesel motor,avtomatski menjalnik,"['2', '9', '9', '3']",280,38990

BMW serija X5: xDrive30d Avt.,BMW,2009,300000,diesel motor,avtomatski menjalnik,"['2', '9', '9', '3']",173,7800

BMW serija X5: xDrive40d Avt.M.PAKET.LED.ACC.KOT NOV,BMW,2017,140800,diesel motor,avtomatski menjalnik,"['2', '9', '9', '3']",230,41880

BMW serija X5: xDrive40e Avt.,BMW,2017,217000,hibridni pogon,avtomatski menjalnik,"['1', '9', '9', '7']",233,39750

BMW serija X5: xDrive40e M-Performance,BMW,2015,40320,hibridni pogon,avtomatski menjalnik,"['1', '9', '9', '7']",233,45000

BMW serija X6: M50d AVT.-HEAD UP-M-SPORT-146.000-PERLA BELA,BMW,2015,146000,diesel motor,avtomatski menjalnik,"['2', '9', '9', '3']",280,49999

BMW serija X6: xDrive 30d Avt.,BMW,2015,131000,diesel motor,avtomatski menjalnik,"['2', '9', '9', '3']",190,36500

BMW serija X6: xDrive 30d M Sport Avt.-POLOG 6000 DO 84M,BMW,2015,198214,diesel motor,avtomatski menjalnik,"['2', '9', '9', '3']",190,38990

Cadillac Escalade 6.2 V8 Elegance Avt.,Cadillac,2007,208000,bencinski motor,avtomatski menjalnik,"['6', '1', '6', '2']",301,14500

Cadillac Escalade Luxury 6.0,Cadillac,2005,80000,bencinski motor,avtomatski menjalnik,"['5', '9', '9', '8']",257,17000

Chevrolet - Impala 5.0 V8,Chevrolet,1985,150000,bencinski motor,avtomatski menjalnik,"['5', '0', '0', '2']",116,9999

Chevrolet Aveo ,Chevrolet,2006,165886,bencinski motor,ročni menjalnik,"['1', '1', '0', '0']",55,1100

Chevrolet Aveo 1.2 Direct,Chevrolet,2006,50062,bencinski motor,ročni menjalnik,"['1', '1', '5', '0']",53,950

Chevrolet Aveo 1.4 16V LS,Chevrolet,2011,75275,bencinski motor,ročni menjalnik,"['1', '3', '9', '9']",74,3200

Chevrolet Captiva 4x4 2.0 VCDi Sport 7S,Chevrolet,2008,195586,diesel motor,ročni menjalnik,"['1', '9', '9', '1']",110,3000

Chevrolet Epica 2.0 VCDi LS,Chevrolet,2007,360000,diesel motor,ročni menjalnik,"['1', '9', '9', '1']",110,1450

Chevrolet Kalos 1.2,Chevrolet,2005,276915,bencinski motor,ročni menjalnik,"['1', '1', '5', '0']",53,300

Chevrolet Lacetti NW5-377,Chevrolet,2010,263300,diesel motor,ročni menjalnik,velikost motorja ni znana,"89 kW / 121 KM
",1150

Chevrolet Orlando 1.8 16V. 7 SEDEEV. SLO,Chevrolet,2011,105000,bencinski motor,ročni menjalnik,"['1', '7', '9', '6']",104,5700

Chevrolet Spark 1.0 16V Base  AC ,Chevrolet,2012,135000,bencinski motor,ročni menjalnik,"['9', '9', '5']",50,3200

Citroen Berlingo 1.6 HDI,Citroen,2013,290000,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",68,5000

Citroen Berlingo 1.6 HDI Exclusive Leasing Odlicen,Citroen,2012,248000,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",68,4390

Citroen Berlingo 1.6 HDi Shine. Multispace,Citroen,2015,99700,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",68,9400

Citroen Berlingo 7B9HXC,Citroen,2011,70700,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",66,4600

Citroen Berlingo BlueHDi 120 S S Shine,Citroen,2016,102000,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",88,11500

Citroen Berlingo Elegance 2.0 HDI BREZHIBEN NA OBROKE,Citroen,2005,314510,diesel motor,ročni menjalnik,"['1', '9', '9', '7']",66,899

Citroen Berlingo Elegance Plus 1.6 HDi,Citroen,2007,140000,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",66,2950

Citroen Berlingo Multispace 1.6 HDI FAP,Citroen,2010,222000,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",80,3400

Citroen C2 1.1i SX,Citroen,2003,108400,bencinski motor,ročni menjalnik,"['1', '1', '2', '4']",44,1250

Citroen C3 1.4 EXCLUSIVE-AVT.KLIMA-HITRI KREDIT-SLO,Citroen,2006,163000,bencinski motor,ročni menjalnik,"['1', '3', '6', '0']",54,1690

Citroen C3 1.4 HDi Attraction,Citroen,2015,101765,diesel motor,ročni menjalnik,"['1', '3', '9', '8']",50,5800

Citroen C3 1.4 HDi FAP Attraction,Citroen,2011,164000,diesel motor,ročni menjalnik,"['1', '3', '9', '8']",50,3600

Citroen C3 1.4 HDi FAP Tendance + ODLIÈEN + VINJETA 2021,Citroen,2011,205000,diesel motor,ročni menjalnik,"['1', '3', '9', '8']",50,3550

Citroen C3 1.4 VTi Exclusive,Citroen,2011,174000,bencinski motor,ročni menjalnik,"['1', '3', '9', '7']",70,4000

Citroen C3 1.4i,Citroen,2002,171000,bencinski motor,ročni menjalnik,"['1', '3', '6', '0']",54,1100

Citroen C3 1.4i 16V Exclusive,Citroen,2008,183500,bencinski motor,ročni menjalnik,"['1', '3', '6', '0']",65,1850

Citroen C3 1.4i 16V SX Pack,Citroen,2009,131000,bencinski motor,ročni menjalnik,"['1', '3', '6', '0']",65,3600

Citroen C3 1.4i Exclusive,Citroen,2006,167400,bencinski motor,ročni menjalnik,"['1', '3', '6', '0']",54,1100

Citroen C3 1.6 HDi 16V Exclusive,Citroen,2007,152000,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",66,2800

Citroen C3 Picasso ,Citroen,2012,240000,bencinski motor,ročni menjalnik,"['1', '3', '9', '7']",70,2950

Citroen C3 Picasso ,Citroen,2011,182000,bencinski motor,ročni menjalnik,"['1', '3', '9', '7']",70,4000

Citroen C3 Picasso 1.2 THP Feel Edition,Citroen,2017,21156,bencinski motor,ročni menjalnik,"['1', '1', '9', '9']",81,10500

Citroen C3 Picasso 1.6 HDi Seduction,Citroen,2013,91600,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",68,5800

Citroen C3 Picasso VTi 120 Exclusive-MONOST NAKUPA NA TRAJNIK,Citroen,2009,115000,bencinski motor,ročni menjalnik,"['1', '5', '9', '8']",88,4900

Citroen C4 1.6 BlueHDi 120 S S Feel Edition,Citroen,2016,82000,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",88,8500

Citroen C4 1.6 HDi 16V SX,Citroen,2006,274000,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",66,1700

Citroen C4 1.6 HDi Attraction,Citroen,2011,220000,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",68,3990

Citroen C4 1.6 HDi Selection,Citroen,2013,169784,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",84,4950

Citroen C4 1.6i 16V SX,Citroen,2006,221854,bencinski motor,ročni menjalnik,"['1', '5', '8', '7']",80,2100

Citroen C4 Grand Picasso 1.2 PureTech - 63.600 km - trajnik do 84 obrokov,Citroen,2015,63600,bencinski motor,ročni menjalnik,"['1', '1', '9', '9']",96,11700

Citroen C4 Grand Picasso 1.6 HDi Dynamique-7 SEDEEV,Citroen,2009,198000,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",80,3990

Citroen C4 Grand Picasso 1.6 HDi Exclusive,Citroen,2011,306868,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",82,3300

Citroen C4 Grand Picasso 1.6 HDi SX FAP,Citroen,2007,281290,diesel motor,avtomatski menjalnik,"['1', '5', '6', '0']",80,1100

Citroen C4 Grand Picasso 1.6 THP - GARANCIJA 12 MESECEV,Citroen,2012,170000,bencinski motor,avtomatski menjalnik,"['1', '5', '9', '8']",115,5990

Citroen C4 Grand Picasso 1.6 e-HDi-NAVI-7 SEDEEV-PDC-ALU-SAMO 125.891 KM,Citroen,2014,125883,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",85,10190

Citroen C4 Grand Picasso 2.0 BlueHDi-7 SEDEEV-KAMERA-NAVI-PDC-ALU-LED-KROM,Citroen,2015,149435,diesel motor,ročni menjalnik,"['1', '9', '9', '7']",110,11990

Citroen C4 Picasso 1.6 HDi Dynamique FAP-AVT.KLIMA-ALU-PDC-ODLIÈEN,Citroen,2009,259000,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",80,3290

Citroen C4 Picasso 1.6 VTi Attraction,Citroen,2009,178000,bencinski motor,ročni menjalnik,"['1', '5', '9', '8']",88,3600

Citroen C4 Picasso 1.6 VTi Attraction,Citroen,2010,175000,bencinski motor,ročni menjalnik,"['1', '5', '9', '8']",88,4500

Citroen C4 Picasso 1.6 e-HDi Seduction ETG  Narejen veliki servis ...,Citroen,2014,193500,diesel motor,avtomatski menjalnik,"['1', '5', '6', '0']",85,6899

Citroen C5 ,Citroen,2007,377000,diesel motor,ročni menjalnik,"['1', '9', '9', '6']",100,2300

Citroen C5 2.0i 16V-SLOVENSKI-ODLIÈEN,Citroen,2009,145700,bencinski motor,ročni menjalnik,"['1', '9', '9', '7']",103,4999

Citroen C5 Break 2.0 HDi X,Citroen,2003,259000,diesel motor,ročni menjalnik,"['1', '9', '9', '7']",80,530

Citroen C5 Tourer 1.6 HDi FAP Business-PDC,Citroen,2013,241185,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",84,3999

Citroen C5 Tourer 2.0 HDi FAP Exclusive,Citroen,2010,251000,diesel motor,ročni menjalnik,"['1', '9', '9', '7']",120,4200

Citroen C5 Tourer 2.0 HDi FAP-AVT.KLIMA-ALU-XENON-PDC-ODLIÈEN,Citroen,2009,243000,diesel motor,ročni menjalnik,"['1', '9', '9', '7']",103,4690

Citroen C5 Tourer 2.2 HDi FAP Exclusive Avt.,Citroen,2011,303000,diesel motor,avtomatski menjalnik,"['2', '1', '7', '9']",150,4470

Citroen C5 Tourer HDi FAP Tendance- NAVI-LED LUÈI-XENON-,Citroen,2012,220000,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",84,4499

Citroen DS5 1.6 e-HDi Navi Panorama BiXenon Led Usnje ..,Citroen,2015,97835,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",84,12990

Citroen DS5 2.0HDI. Hibrid. 4x4,Citroen,2012,211000,hibridni pogon,avtomatski menjalnik,"['1', '9', '9', '7']",120,6200

Citroen DS5 HIBRID. 4X4. AVTOMATIK,Citroen,2013,250000,hibridni pogon,avtomatski menjalnik,"['1', '9', '9', '7']",120,7190

Citroen Nemo 1.4 HDi SX,Citroen,2008,80000,diesel motor,ročni menjalnik,"['1', '3', '9', '8']",50,1350

Citroen Xsara 2.0 HDi Exclusive,Citroen,2003,195600,diesel motor,ročni menjalnik,"['1', '9', '9', '7']",66,530

Citroen Xsara Picasso 1.6i 16V Elegance Plus - kot nov - beri opis,Citroen,2007,208000,bencinski motor,ročni menjalnik,"['1', '5', '8', '7']",80,1750

Citroen Xsara Picasso 1.6i 16V Elegance Plus SLO KREDIT,Citroen,2008,237000,bencinski motor,ročni menjalnik,"['1', '5', '8', '7']",80,1699

Citroen Xsara Picasso 2.0i HDi Exclusive,Citroen,2002,300000,diesel motor,ročni menjalnik,"['1', '9', '9', '7']",66,650

Dacia Dokker 1.5 dci KOIMA,Dacia,2016,205654,diesel motor,ročni menjalnik,"['1', '4', '6', '0']",55,5300

Dacia Sandero 1.4  +SAMO 106000km+2.LASTNIK+SLO+ODLIÈEN+ALU+,Dacia,2008,106000,bencinski motor,ročni menjalnik,"['1', '3', '9', '0']",55,2579

Dacia Sandero 1.6 Ambiance,Dacia,2009,142000,bencinski motor,ročni menjalnik,"['1', '5', '9', '8']",64,2650

Daihatsu Feroza F-300-LG  FEROZA 1.6,Daihatsu,1999,149800,bencinski motor,ročni menjalnik,velikost motorja ni znana,"70 kW / 95 KM
",2500

Dodge - CHALLENGER 3.6. V6 - 309 HP,Dodge,2014,46450,bencinski motor,avtomatski menjalnik,"['3', '6', '0', '5']",227,24990

Fiat 500 1.3 Multijet S,Fiat,2016,50000,diesel motor,ročni menjalnik,"['1', '2', '4', '8']",70,9900

Fiat 500 1.4 16V Sport,Fiat,2009,165000,bencinski motor,ročni menjalnik,"['1', '3', '6', '8']",74,4500

Fiat 500 Belvedere,Fiat,1954,5500,bencinski motor,ročni menjalnik,velikost motorja ni znana,"16 kW / 22 KM
",11000

Fiat 500 elektrièni,Fiat,2015,48000,elektro pogon,avtomatski menjalnik,velikost motorja ni znana,"84 kW
",14200

Fiat Barchetta ,Fiat,1995,150000,bencinski motor,ročni menjalnik,"['1', '8', '0', '0']",140,5200

Fiat Bravo 1.4 16V Dynamic,Fiat,2007,209000,bencinski motor,ročni menjalnik,"['1', '3', '6', '8']",66,2190

Fiat Bravo 1.6 JTD Multijet Emotion,Fiat,2012,174000,diesel motor,ročni menjalnik,"['1', '5', '9', '8']",77,3990

Fiat Bravo 1.6 Multijet Dynamic,Fiat,2011,223560,diesel motor,ročni menjalnik,"['1', '5', '9', '8']",77,3300

Fiat Multipla 1.9 JTD ELX 115,Fiat,2003,230000,diesel motor,ročni menjalnik,"['1', '9', '1', '0']",85,200

Fiat Panda 1000 Fire,Fiat,1994,78000,bencinski motor,ročni menjalnik,"['9', '9', '9']",33,450

Fiat Panda 4x4 1.3 Multijet Rock,Fiat,2017,40000,diesel motor,ročni menjalnik,"['1', '2', '4', '8']",70,10500

Fiat Panda Classic 1.2 EMOTION.SLO,Fiat,2012,144756,bencinski motor,ročni menjalnik,"['1', '2', '4', '2']",51,4650

Fiat Punto 1.2 16V Dynamic,Fiat,2004,183000,bencinski motor,ročni menjalnik,"['1', '2', '4', '2']",59,850

Fiat Punto Grande  Blue Me 1.4 8V odlièno ohranjen ,Fiat,2006,160000,bencinski motor,ročni menjalnik,"['1', '3', '6', '8']",57,1990

Fiat Punto Grande  Dynamic 1.2 8V,Fiat,2006,178000,bencinski motor,ročni menjalnik,"['1', '2', '4', '2']",48,1700

Fiat Punto Grande  Dynamic 1.4 16V,Fiat,2006,200000,bencinski motor,ročni menjalnik,"['1', '3', '6', '8']",70,1250

Fiat Punto Grande  Sport 1.4 16V Starjet,Fiat,2007,173500,bencinski motor,ročni menjalnik,"['1', '3', '6', '8']",70,2550

Fiat Sedici 4x4 2.0 Multijet Emotion,Fiat,2010,70100,diesel motor,ročni menjalnik,"['1', '9', '5', '6']",99,7500

Fiat Seicento S,Fiat,2002,130921,bencinski motor,ročni menjalnik,"['1', '1', '0', '8']",40,599

Fiat Stilo 1.9 JTD Dynamic,Fiat,2004,354000,diesel motor,ročni menjalnik,"['1', '9', '1', '0']",85,950

Fiat Stilo 2.4 GT ABARTH,Fiat,2006,80000,bencinski motor,ročni menjalnik,"['2', '4', '4', '8']",125,1650

Ford C-Max 1.5 TDCi business - OD 1 LASTNIKA,Ford,2018,130400,diesel motor,ročni menjalnik,"['1', '4', '9', '9']",88,10690

Ford C-Max 1.6 Ambiente,Ford,2005,250000,bencinski motor,ročni menjalnik,"['1', '5', '9', '6']",74,1590

Ford C-Max 1.8 TDCi,Ford,2008,153000,diesel motor,ročni menjalnik,"['1', '7', '5', '3']",85,2350

Ford Fiesta 1.0 Ecoboost Titanium Powershift,Ford,2016,119000,bencinski motor,avtomatski menjalnik,"['9', '9', '8']",74,6490

Ford Fiesta 1.4 16v +SAMO 139000KM+SLOVENSKI+ODLIÈEN+ALU+,Ford,2009,139000,bencinski motor,ročni menjalnik,"['1', '3', '8', '8']",71,3880

Ford Fiesta 1.5 TDCi Titanium-1.LASTNICA-SLO-ODLIÈNA,Ford,2015,119000,diesel motor,ročni menjalnik,"['1', '4', '9', '9']",55,6990

Ford Fiesta Ambiente 1.3i 8V,Ford,2004,108000,bencinski motor,ročni menjalnik,"['1', '2', '9', '9']",51,1099

Ford Fiesta Comfort 1.3 8V,Ford,2005,151000,bencinski motor,ročni menjalnik,"['1', '2', '9', '9']",44,650

Ford Fiesta Comfort 1.3 8V,Ford,2006,91600,bencinski motor,ročni menjalnik,"['1', '2', '9', '9']",51,1400

Ford Fiesta Comfort 1.3i 8V,Ford,2005,103000,bencinski motor,ročni menjalnik,"['1', '2', '9', '9']",44,600

Ford Fiesta Flair 1.3,Ford,1997,150000,bencinski motor,ročni menjalnik,"['1', '2', '9', '9']",44,300

Ford Focus 1.5 TDCi 4 OSEBE+TOVOR N1 ODBITEK DDV SLO,Ford,2015,169000,diesel motor,ročni menjalnik,"['1', '4', '9', '9']",70,7900

Ford Focus 1.6 TDCi + 1 LASNTIK + NAKUP BREZ POLOGA,Ford,2008,136214,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",66,3389

Ford Focus 1.6 TDCi SPORT +VELIK SERVIS+TEMPOMAT+,Ford,2008,169700,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",66,2980

Ford Focus 1.6 TDCi Trend,Ford,2012,195000,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",70,4750

Ford Focus 1.6i Trend +,Ford,2005,162019,bencinski motor,ročni menjalnik,"['1', '5', '9', '6']",74,1590

Ford Focus Karavan 1.5 EcoBlue Active°1.lastnik°SLO vozilo°,Ford,2019,35419,diesel motor,ročni menjalnik,"['1', '4', '9', '9']",88,19990

Ford Focus Karavan 1.5 Titanium Gretje Keyless Head Up,Ford,2019,13121,diesel motor,ročni menjalnik,"['1', '4', '9', '9']",88,16990

Ford Focus Karavan 2.0 TDCi -MONOST TRAJNIKA,Ford,2013,230000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '7']",85,6700

Ford Galaxy 2.0 Ghia,Ford,2007,205000,bencinski motor,ročni menjalnik,"['1', '9', '9', '9']",107,3790

Ford Galaxy 2.0 TDCi Ghia-7 SEDEEV-ODLIÈEN-SERV.KNJIGA-M 2014,Ford,2013,248125,diesel motor,ročni menjalnik,"['1', '9', '9', '7']",103,9990

Ford Kuga 4x2 2.0 TDCi Trend,Ford,2015,93150,diesel motor,ročni menjalnik,"['1', '9', '9', '7']",95,12990

Ford Mondeo 2.0 TDCi 140 KM Ghia - BREZ POLOGA NA TRAJNIK,Ford,2008,260596,diesel motor,ročni menjalnik,"['1', '9', '9', '7']",103,3490

Ford Mondeo 2.0 TDCi Ambiente,Ford,2004,340000,diesel motor,ročni menjalnik,"['1', '9', '9', '8']",85,400

Ford Mondeo 2.0TDCi Titanium Aut. Navi Gretje BT Tempomat Alu ,Ford,2017,170189,diesel motor,avtomatski menjalnik,"['1', '9', '9', '7']",110,12490

Ford Mondeo Karavan 2.0 TDCi Titanium 1. LASTNIK   SLOVENSKI,Ford,2018,52255,diesel motor,ročni menjalnik,"['1', '9', '9', '7']",110,22200

Ford Mondeo Karavan 2.0 TDCi Titanium DPF,Ford,2010,210000,diesel motor,ročni menjalnik,"['1', '9', '9', '7']",103,4200

Ford Mondeo Karavan 2.0 TDCi Titanium°FULL LED°,Ford,2018,138410,diesel motor,ročni menjalnik,"['1', '9', '9', '7']",110,15830

Ford Mustang 2.3 EcoBoost,Ford,2017,28900,bencinski motor,avtomatski menjalnik,"['2', '3', '0', '0']",235,30500

Ford S-Max 1.8 TDCi Ambiente VLEÈNA-KLJUKA  ODLIÈEN ,Ford,2007,275000,diesel motor,ročni menjalnik,"['1', '7', '5', '3']",92,2350

Ford S-Max 1.8 TDCi Trend,Ford,2008,234000,diesel motor,ročni menjalnik,"['1', '7', '5', '3']",92,2950

Ford S-Max 2.0 TDCi Business Powershift,Ford,2018,122000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '7']",110,16690

Ford S-Max 2.0 TDCi Titanium Powershift.KAMERA.F1 PRESTAVE,Ford,2017,129911,diesel motor,avtomatski menjalnik,"['1', '9', '9', '7']",110,15990

Ford S-Max 2.0 TDCi Titanium mozna menjava,Ford,2011,301000,diesel motor,ročni menjalnik,"['1', '9', '9', '7']",103,5100

Ford Sierra ,Ford,1990,26000,bencinski motor,ročni menjalnik,"['2', '0', '0', '0']",74,3000

Ford Tourneo Connect KMR 1.8 TDCi Comfort,Ford,2003,134000,diesel motor,ročni menjalnik,"['1', '7', '5', '3']",66,2000

Ford Tourneo Custom POTNISKI,Ford,2020,27970,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",136,39980

GMC - Savana,GMC,2004,150000,bencinski motor,avtomatski menjalnik,"['5', '9', '9', '8']",220,11000

Honda Accord 2.2i CTDi Sport Plus,Honda,2008,279441,diesel motor,ročni menjalnik,"['2', '2', '0', '4']",103,4200

